BallotName
ACKERMAN, PATRICIA
COHEN, ED
HERNANDEZ, REYNALDO
KOBLE, CLINT
LUETKEHANS, IAN
SCHIFFMAN, STEVE "PRAGMATIC"
SHEPHERD, RICK
AMODEI, MARK E.
BECK, JOEL
HURLEY, JESSE DOUGLAS
TITUS, ROBIN L.
ULRICH, JEFF
HEATH, JUSTIN
SCHARMANN, HARRY "BUS"
BOONE, KEITH W.
KELLY, KELLI
CASEY, MICHAEL "MICK"
KOENIG, GREGORY S.
CHRISTENSEN, TS
PICKERING, KRISTINA
RODRIGUEZ, ESTHER C.
NONE OF THESE CANDIDATES
FUMO, OZZIE
HERNDON, DOUGLAS
NELSON, ERV
COOMBS, KATIE
JONTE, MARION
McConnell, Regina "Gina"
Cutter, Nadin
Naft, Michael
O'Sullivan, Ken Patrick "Sully"
Ganz, Adam
Miron Galindo, Edgar "Galindo"
Dowden, Joshua
Breeden, Adam
Bourke, Craig G.
Thomas, Jr., Anthony
Elliott, Josh
Rheinhart, Allen
Butler, Dedree "Dee"
Bentley, Joyce
Hamilton, Eddie "MrLasVegas"
Casino, Angelo
Larios-Elias, Citlaly
Titus, Dina
Dayani, Sara
Nazareno-Edquilang, Gemma "Gem"
Hardy, Jr., Joe
Esh, Steve
Goodman, Eric A.
Kierny, Carli Lynn
Nathan, Gayle
Hughes, Rena G.
Ochoa, Vincent
Fleeman, Jack
Hughes, Tim
Page, Fred
Marcello, Dustin R.
Andrade, Maricar "Rica"
Stoffel, Jason
Szyc, Lisa M.
Machnich, Tegan Christine
MacDonald, J. Scott
Voy, William
Robison, Michael S.
Mason, Aaron
Perry, Mary
Abbott, Eric
Scotti, Richard
Eller, Crystal
Wingate, Cheryl Ann
Caston, Marilyn
Almase, Caesar
Barisich, Veronica
Pickard, Margaret E.
Charter, Stephanie
Kephart, William "Bill"
Clark Newberry, Tara
Aurbach, Phil
Gonzalez, Bill
Coffing, Terry
Molnar, Kari
Bailey, Soonhee "Sunny"
Krall, Nadia
Gale, Bruce L.
Throne, Dawn
Miller, Fikisha Liki
Parker, Blair C.
Chevalier Lopez, Yvette
Schifalacqua, Barbara
Forman, Randall
Reynolds, Jacob
Armstrong, Karl W.
Mercer, Michele "Shell"
Tobler, Michelle O.
Miceli, Michael J.
Friedberg, Craig
Hughes, Lynn
Perez, Romeo
Lilly-Spells, Jasmin
Trujillo, Monica
Sweetin, Jim
Speed, Kevin
Kurth, Robert
Ballou, Erika D.
Cavanaugh, James E. "Jim"
Mastin, Amy M.
McKellar, Mandy
Israel, Ron
Bohn, Mickey
Mcleod, Alexandra Beth
Gilliam, Dan
Rinetti, Dena
Vadala, Joe
Lee, Susie
Nadell, Brian
Bagley, David
Marzola, Elaine
Sullivan, Dennis
Newberry, Corwin "Cory"
Watson, Tiffany Ann
Robinson, Mindy
Rodimer, Dan "Big Dan"
Schwartz, Dan
Willert, Victor R.
Deike, Kari
Cartwright, Andrew E.
Kennedy, Amanda
Guzman, Lisa
Leavitt, Liberty
James-Newman, Bruce
Marshall, Jshauntae "Jai"
Nair, Anand K.
Mickanen, Justin "Steeve Strange"
Rowe, Mike
Ortiz, Felicia
Brooks, Byron
Nigam, Swadeep
Fisher, Lachelle
Silberkraus, Stephen Hayward
Kintigh, Claudia
Calhoun, Jay
Archer, Troy
Delisle, Steven E.
George, Stephen L.
Gibson, Sr., David S.
Child, Kevin L.
Boylan, Patrick
Spirtos, Nick "Doc"
Davis, Russell
Sacco, Joseph
González, Cecelia
Vanderpal, Geoffrey
Hafen, II, Gregory T.
Bradley, Joe
Bingham, Rosalie
Brucato, George J.
Blundo, Leonardo
Colley, Chris
D'Ayr, Stephanie Gabrielle
Marchant, Jim
Navarro, Charles
Eason, Jennifer
Peters, Sam
Reed, Randi
Sutton, Lisa Song
Horsford, Steven
Wood, Rebecca
Kempton, Gregory
Cantu, Rene
Bowen, Antonio
Ferranti, Carol
Dreyer, Barbara A.
Garcia Morales, Evelyn
Newburn, Mark
Jones, III, Walter
Henry, Tameka
Searles, Noel
Richardson, Vincent L.
Miller, Cameron "C.H."
Stephens, III, John
Edwards, Chris
Black, Ann "Annie"
Boone, Kasina
Hill, Cortland
Proffitt, Jeff
Shank, Chris E.
Stanley, Jack
Sherman, Ebony
Wachter, Bryan
Williams, Katie
Becker, Liz
Bilodeau, Ronald "Ron"
Gibson, Donnie
McArthur, Richard
Arroyo, Elysa
Brooks, Lola
Craig, Christopher
Lewis, Tracey
Helgelien, Tiger
Robertson, Cristina
Salt, Alexis
Polcyn, Jack
Creviston, Sylvia Liberty
Carlton, Maggie
Fennell, II, James
Fielding, Karen
Boger, Wes
Wanlass, Paul
Lisk, Steven
Wursten, Brian
Skurow, Ronnie
Dutkowski, Karen
Mortensen, Michelle
Deaville, Jacob
Noeth, Lisa
Matthews, Andy
Brown, Patsy
Cain, Hunter
Miller, Ross
Hosea, Gary
Raja, Fayyaz
Penney, Jenny
Kunnel, Radhika "RPK"
Valdes, Joe
Sherwood, Jennie
Littman, Eva
McArthur, Taylor
Morehead, Christian
Kasama, Heidi
Sexton, Erik
Small, Jim
Nguyen, Rochelle
Holder, Jesse "Jake"
Randolph, Retha
Tracy, Mitchell T.
Miller, Mack
Robinson, II, William E.
Summers-Armstrong, Shondra
Lewis, Geraldine
Barron, Isaac
Duncan, Katie
Flanagan, Tanya
Denis, Moises "Mo"
Kothari, Deepen "My Friend"
McCurdy, II, William
Scott, Dillard Allen
Moreno, Jesus Carlos
Watts, Howard
Andersson, Burke
Carrillo, Richard
Lange, Roberta
Spiegel, Ellen
Logan, Zachary
Orentlicher, David
McAuliffe, Michael
Smith, Emily
Considine, Venicia
Dortch, Clarence M.
Frost, Char
Ortega, Lisa
NELSON, DAVE
TARKANIAN, DANNY
GARDNER, MARK
WALSH, LARRY
NOWOSAD, WALTER "WALT"
TOLBERT, NATHAN
KANGAS, CAREY
GILKERSON, LINDA J.
DUNHAM, DALE L.
GRAY, TERI A.
RIVANO, ANTHONY P.
SIEGMAN, RUSS
STOLYAROV, GENNADY II
AKOLA, DAVE
BARBER, GEORGE H.
CARRILLO, AMBER
CLARK, GERALD "SPARKY" M.
FANTO, FRANK
FERRIS, SHARON
MITCHELL, STEVE
TAYLOR, JERRY "BRANDON"
EVERTSEN, GARY “RADAR”
STENINGER, REX
FISH, KIETH
COONEY, JIM
D'AYR, GABRIELLE "BRIE"
