Name	NumberElected	Office	PrimaryParty
NV House District 1	1	NV House District 1	
NV House District 2	1	NV House District 2	
NV House District 3	1	NV House District 3	
NV House District 4	1	NV House District 4	
NV House District 5	1	NV House District 5	
NV House District 6	1	NV House District 6	
NV House District 7	1	NV House District 7	
NV House District 8	1	NV House District 8	
NV House District 9	1	NV House District 9	
NV House District 10	1	NV House District 10	
NV House District 11	1	NV House District 11	
NV House District 12	1	NV House District 12	
NV House District 13	1	NV House District 13	
NV House District 14	1	NV House District 14	
NV House District 15	1	NV House District 15	
NV House District 16	1	NV House District 16	
NV House District 17	1	NV House District 17	
NV House District 18	1	NV House District 18	
NV House District 19	1	NV House District 19	
NV House District 20	1	NV House District 20	
NV House District 21	1	NV House District 21	
NV House District 22	1	NV House District 22	
NV House District 23	1	NV House District 23	
NV House District 24	1	NV House District 24	
NV House District 25	1	NV House District 25	
NV House District 26	1	NV House District 26	
NV House District 27	1	NV House District 27	
NV House District 28	1	NV House District 28	
NV House District 29	1	NV House District 29	
NV House District 30	1	NV House District 30	
NV House District 31	1	NV House District 31	
NV House District 32	1	NV House District 32	
NV House District 33	1	NV House District 33	
NV House District 34	1	NV House District 34	
NV House District 35	1	NV House District 35	
NV House District 36	1	NV House District 36	
NV House District 37	1	NV House District 37	
NV House District 38	1	NV House District 38	
NV House District 39	1	NV House District 39	
NV House District 40	1	NV House District 40	
NV House District 41	1	NV House District 41	
NV House District 42	1	NV House District 42	
NV Senate District 1	1	NV Senate District 1	
NV Senate District 2	1	NV Senate District 2	
NV Senate District 3	1	NV Senate District 3	
NV Senate District 4	1	NV Senate District 4	
NV Senate District 5	1	NV Senate District 5	
NV Senate District 6	1	NV Senate District 6	
NV Senate District 7	1	NV Senate District 7	
NV Senate District 8	1	NV Senate District 8	
NV Senate District 9	1	NV Senate District 9	
NV Senate District 10	1	NV Senate District 10	
NV Senate District 11	1	NV Senate District 11	
NV Senate District 12	1	NV Senate District 12	
NV Senate District 13	1	NV Senate District 13	
NV Senate District 14	1	NV Senate District 14	
NV Senate District 15	1	NV Senate District 15	
NV Senate District 16	1	NV Senate District 16	
NV Senate District 17	1	NV Senate District 17	
NV Senate District 18	1	NV Senate District 18	
NV Senate District 19	1	NV Senate District 19	
NV Senate District 20	1	NV Senate District 20	
NV Senate District 21	1	NV Senate District 21	
US House NV District 1	1	US House NV District 1	
US House NV District 2	1	US House NV District 2	
US House NV District 3	1	US House NV District 3	
US House NV District 4	1	US House NV District 4	
US President (NV)	1	US President (NV)	
NV Governor	1	NV Governor	
US Senate NV	1	US Senate NV	
NV Attorney General	1	NV Attorney General	
NV Lieutenant Governor	1	NV Lieutenant Governor	
NV State Treasurer	1	NV State Treasurer	
NV Secretary of State	1	NV Secretary of State	
NV State Controller	1	NV State Controller	
